Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0009986~cell surface	12	3.8834951456310676	0.003304882048056964	423417, 436466, 421919, 425857, 468060, 482223, 474447, 451800, 469997, 452397, 480006, 448036	173	305	12504	2.8437032123566754	0.509203832604838	0.509203832604838	4.111380406350918
GOTERM_MF_FAT	GO:0003700~transcription factor activity	21	6.796116504854369	0.004508873619623427	437455, 483260, 423256, 472688, 436434, 471477, 456608, 472046, 436336, 451023, 453941, 470567, 470196, 445323, 429586, 430366, 464474, 465839, 479694, 434235, 424737	182	776	13288	1.9758128469468679	0.7887176359056581	0.7887176359056581	5.978570752869561
GOTERM_BP_FAT	GO:0006357~regulation of transcription from RNA polymerase II promoter	18	5.825242718446602	0.005252212441207516	459621, 423417, 468587, 436434, 468060, 459417, 460542, 478197, 453941, 470567, 444162, 429586, 432323, 464474, 465839, 428998, 479694, 434235	189	616	13588	2.100803957946815	0.9993880167117066	0.9993880167117066	8.314400291505963
GOTERM_BP_FAT	GO:0060740~prostate gland epithelium morphogenesis	4	1.2944983818770228	0.005361642443661898	483260, 444162, 468060, 453941	189	26	13588	11.06064306064306	0.9994756625146538	0.9771015833441216	8.480517050534765
GOTERM_BP_FAT	GO:0060512~prostate gland morphogenesis	4	1.2944983818770228	0.005971160836114705	483260, 444162, 468060, 453941	189	27	13588	10.650989613952577	0.9997783982269172	0.9394857376627009	9.400616333647417
GOTERM_BP_FAT	GO:0022612~gland morphogenesis	6	1.9417475728155338	0.006145284493855619	483260, 444162, 423417, 454261, 468060, 453941	189	84	13588	5.135298563869992	0.9998267480182877	0.8852719656757857	9.66186489067421
SP_PIR_KEYWORDS	alternative splicing	81	26.21359223300971	0.007163410952795291	436813, 427557, 447711, 462765, 428558, 444162, 425370, 446359, 443163, 455336, 430748, 438243, 478886, 425373, 479694, 427032, 433780, 434226, 439563, 435030, 436434, 481808, 482223, 461283, 474447, 426158, 469997, 421759, 459401, 459294, 481274, 467914, 462257, 464474, 469633, 478408, 458500, 474758, 455589, 482554, 482989, 460542, 456608, 467737, 478197, 424330, 473001, 471994, 429329, 454261, 450074, 470196, 463079, 474710, 438590, 475160, 447264, 465839, 431400, 422359, 450683, 439069, 459621, 468587, 443975, 459417, 453989, 457274, 431529, 453941, 425114, 480006, 448036, 428712, 434112, 432323, 436511, 426675, 453161, 458233, 467550	250	4481	17854	1.2909386297701406	0.8564514064984119	0.8564514064984119	9.01945972976147
GOTERM_BP_FAT	GO:0043065~positive regulation of apoptosis	10	3.2362459546925564	0.007680663115995484	423417, 459401, 429586, 426675, 482223, 432372, 459417, 432052, 453941, 439909	189	248	13588	2.8989588667008017	0.9999802624452085	0.8854332298430204	11.935055450818922
GOTERM_BP_FAT	GO:0001763~morphogenesis of a branching structure	7	2.26537216828479	0.007814029944412056	483260, 444162, 454261, 468060, 426675, 453941, 424737	189	125	13588	4.0260740740740735	0.9999836589601472	0.840700914901793	12.129952981237702
GOTERM_BP_FAT	GO:0042127~regulation of cell proliferation	16	5.177993527508091	0.007843108035545138	483260, 423417, 425879, 468060, 481808, 482223, 459417, 460542, 432052, 453941, 448036, 480006, 444162, 454261, 437215, 479694	189	538	13588	2.1381168741763537	0.9999843181710512	0.7941133905080553	12.172392833612399
