Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0005515~protein binding	104	4.196933010492333	7.99293118630825E-4	GPR125, PDLIM4, FGF12, C1QC, SHH, BATF, GATA1, G2E3, EIF4EBP1, TRAK1, SMARCD1, TPT1, SH3BGR, CHRNA7, NEGR1, S100A1, CIITA, VANGL2, MYH6, MECOM, DCTN1, CCR8, PA2G4, CLEC12A, RASGRF1, CD34, GRB14, MAP6D1, FBXL2, TRAF2, STX8, ATF2, GORASP1, 2700078K21RIK, GM10436, SKIL, DVL2, TM2D1, CKAP5, PHB, NXF2, NTN5, GM757, KCTD7, BTLA, NOTCH2, EPHA7, NOTCH1, CBLB, GCM1, COL14A1, KCTD14, NXPH2, SEC24A, ELF2, COPS3, MRFAP1, GABBR2, FES, ARHGAP21, ACVR1B, KIF2C, SIK2, STX3, ESR1, SPEN, BBS10, MAST4, NCK2, HIPK1, CAND2, LCOR, NPPA, ABLIM1, PLDN, CLDN19, TNF, EXOC8, CSF1, UPP2, NFYB, GCN1L1, 4930451C15RIK, SEC63, 2310046K01RIK, PAFAH1B1, WIPF1, ENO1, TXNIP, COL4A1, FLT4, CEBPG, ANXA1, AXL, IGF1, KLRA22, ITPR3, STAT3, PKNOX2, RAB37, FCGR2B, BNIP3L, GM3448, LIPE	212	5850	15404	1.291740041928721	0.27082901405803195	0.27082901405803195	1.1070889456211486
GOTERM_MF_2	GO:0005515~protein binding	104	4.196933010492333	0.00154934600085491	GPR125, PDLIM4, FGF12, C1QC, SHH, BATF, GATA1, G2E3, EIF4EBP1, TRAK1, SMARCD1, TPT1, SH3BGR, CHRNA7, NEGR1, S100A1, CIITA, VANGL2, MYH6, MECOM, DCTN1, CCR8, PA2G4, CLEC12A, RASGRF1, CD34, GRB14, MAP6D1, FBXL2, TRAF2, STX8, ATF2, GORASP1, 2700078K21RIK, GM10436, SKIL, DVL2, TM2D1, CKAP5, PHB, NXF2, NTN5, GM757, KCTD7, BTLA, NOTCH2, EPHA7, NOTCH1, CBLB, GCM1, COL14A1, KCTD14, NXPH2, SEC24A, ELF2, COPS3, MRFAP1, GABBR2, FES, ARHGAP21, ACVR1B, KIF2C, SIK2, STX3, ESR1, SPEN, BBS10, MAST4, NCK2, HIPK1, CAND2, LCOR, NPPA, ABLIM1, PLDN, CLDN19, TNF, EXOC8, CSF1, UPP2, NFYB, GCN1L1, 4930451C15RIK, SEC63, 2310046K01RIK, PAFAH1B1, WIPF1, ENO1, TXNIP, COL4A1, FLT4, CEBPG, ANXA1, AXL, IGF1, KLRA22, ITPR3, STAT3, PKNOX2, RAB37, FCGR2B, BNIP3L, GM3448, LIPE	210	5850	14988	1.2688253968253969	0.06594886051426219	0.06594886051426219	1.4401819638353963
GOTERM_CC_ALL	GO:0009986~cell surface	12	0.48426150121065376	0.0031622119629693716	BTLA, NOTCH2, TNF, SCUBE3, GPR125, FCGR2B, CLEC12A, CD34, PEBP1, KLRA22, CHRNA7, SHH	217	305	15855	2.8746694870438922	0.5219131176112268	0.5219131176112268	3.987242677073588
GOTERM_CC_FAT	GO:0009986~cell surface	12	0.48426150121065376	0.003304882048056964	BTLA, NOTCH2, TNF, SCUBE3, GPR125, FCGR2B, CLEC12A, CD34, PEBP1, KLRA22, CHRNA7, SHH	173	305	12504	2.8437032123566754	0.509203832604838	0.509203832604838	4.111380406350918
GOTERM_CC_2	GO:0009986~cell surface	12	0.48426150121065376	0.003425864122498928	BTLA, NOTCH2, TNF, SCUBE3, GPR125, FCGR2B, CLEC12A, CD34, PEBP1, KLRA22, CHRNA7, SHH	211	305	15227	2.839313184678735	0.11621622966344158	0.11621622966344158	3.0144999128929983
GOTERM_CC_3	GO:0009986~cell surface	12	0.48426150121065376	0.003440722041379939	BTLA, NOTCH2, TNF, SCUBE3, GPR125, FCGR2B, CLEC12A, CD34, PEBP1, KLRA22, CHRNA7, SHH	211	305	15223	2.8385673218864116	0.2767393168517024	0.2767393168517024	3.7103568554032296
GOTERM_MF_FAT	GO:0003700~transcription factor activity	21	0.847457627118644	0.004508873619623427	ELF2, CEBPG, ESR1, NFYB, SPEN, EN2, RHOX4G, STAT3, ATF2, BATF, PKNOX2, GATA1, NOTCH1, PA2G4, GCM1, MRPL28, ZSCAN21, ZFP354A, GBX1, LCOR, NFIB	182	776	13288	1.9758128469468679	0.7887176359056581	0.7887176359056581	5.978570752869561
GOTERM_MF_ALL	GO:0003700~transcription factor activity	21	0.847457627118644	0.004985855291857283	ELF2, CEBPG, ESR1, NFYB, SPEN, EN2, RHOX4G, STAT3, ATF2, BATF, PKNOX2, GATA1, NOTCH1, PA2G4, GCM1, MRPL28, ZSCAN21, ZFP354A, GBX1, LCOR, NFIB	212	776	15404	1.9663246450106984	0.8611469118148763	0.6273700385300134	6.722318481250678
GOTERM_BP_FAT	GO:0006357~regulation of transcription from RNA polymerase II promoter	18	0.7263922518159807	0.005252212441207516	TXNIP, ABLIM1, ELF2, TNF, CEBPG, IGF1, SPEN, MECOM, SHH, STAT3, PKNOX2, NOTCH1, HIPK1, TRAK1, SMARCAL1, SKIL, LCOR, NFIB	189	616	13588	2.100803957946815	0.9993880167117066	0.9993880167117066	8.314400291505963
GOTERM_MF_4	GO:0003700~transcription factor activity	21	0.847457627118644	0.0052822686346713325	ELF2, CEBPG, ESR1, NFYB, SPEN, EN2, RHOX4G, STAT3, ATF2, BATF, PKNOX2, GATA1, NOTCH1, PA2G4, GCM1, MRPL28, ZSCAN21, ZFP354A, GBX1, LCOR, NFIB	168	776	12058	1.9423324742268042	0.411175389098805	0.411175389098805	5.709064824281618
